Region,Crop,Season,Soil_Type,Yield
Sangli,"Wheat, Jowar, Bajra, Gram, Cotton, Maize, Tur, Saffron, Sugarcane, Groundnut, Pomegranate","Kharif and Rabi","Medium to deep black soils","High"
Satara,"Rice, Ragi, Jowar, Mango, Cashewnut, Jackfruit, Jamun","Kharif and Rabi","Medium to deep black; lighter on slopes; laterite in hills","Low"
Sindhudurg,"Rice, Mango, Coconut, Arecanut, Cashewnut","Kharif and Rabi","Laterite, acidic & poor in N/K₂O","High"
Solapur,"Bajra, Jowar, Groundnut, Wheat, Sugarcane, Cotton, Pomegranate","Kharif and Rabi","Clayey, poor in N, low in P, well supplied in K₂O","Low"
Thane,"Rice, Finger Millet, Urad, Moong, Chikoo, Guava, Mango, Papaya, Grapefruit, Coconut","Kharif and Rabi","Coarse & shallow, rich in N, poor in K/K₂O","Medium‑Low"
Wardha,"Cotton, Jowar, Wheat, Pulses","Kharif and Rabi","Black or dark brown volcanic‐trap soils","Low"
Washim,"Jowar, Bajra, Cotton, Pulses","Kharif and Rabi","Medium black soils","Low"
Yavatmal,"Paddy, Soybean, Cotton, Jowar, Tur, Gram, Groundnut","Kharif and Rabi","Greyish black soils","Very Low"
Ajmer,"Wheat, Barley, Gram, Mustard, Bajra","Kharif & Rabi","Old alluvial & Hill (Lithosols)","Medium"
Alwar,"Bajra, Maize, Jowar, Gram, Mustard","Kharif & Rabi","New alluvial","Medium"
Banswara,"Maize, Bajra, Groundnut, Tur","Kharif & Rabi","Red loam","Medium"
Baran,"Wheat, Maize, Gram, Soybean","Kharif & Rabi","Black soil (Deccan trap) & Alluvial","High"
Barmer,"Bajra, Guar, Moth, Sesame","Kharif","Desert soil","Low"
Bharatpur,"Wheat, Mustard, Barley, Gram","Rabi & Kharif","Alluvial","High"
Bhilwara,"Wheat, Gram, Mustard, Maize","Kharif & Rabi","Hill soils (Lithosols) & Red loam","Medium"
Bikaner,"Bajra, Guar, Moth, Sesame","Kharif","Desert soil","Low"
Bundi,"Soybean, Wheat, Maize, Gram","Kharif & Rabi","Brown soil & Black soil","Medium"
Chittorgarh,"Soybean, Wheat, Gram, Maize","Kharif & Rabi","Brown soil & Old alluvial","Medium"
Churu,"Bajra, Guar, Moth, Sesame","Kharif","Desert soil","Low"
Dausa,"Wheat, Barley, Gram, Mustard","Rabi & Kharif","New alluvial","High"
Dholpur,"Rice, Wheat, Mustard, Gram","Kharif & Rabi","Alluvial","High"
Dungarpur,"Maize, Bajra, Groundnut, Tur","Kharif & Rabi","Red loam","Medium"
Ganganagar (Sri Ganganagar),"Wheat, Rice, Cotton, Mustard","Rabi & Kharif","Alluvial","High"
Hanumangarh,"Wheat, Mustard, Barley, Gram","Rabi & Kharif","Desert & Alluvial","Medium"
Jaipur,"Wheat, Barley, Gram, Mustard","Rabi & Kharif","New alluvial & Sierozems","High"
Jaisalmer,"Bajra, Guar, Moth","Kharif","Dunes & associated soils","Low"
Jalore,"Bajra, Guar, Moth, Sesame","Kharif","Desert & Saline‑Sodic soils","Low"
Jhalawar,"Soybean, Wheat, Maize, Gram","Kharif & Rabi","Black soil & Alluvial","Medium"
Jhunjhunu,"Wheat, Barley, Gram, Mustard","Rabi & Kharif","Desert transition soils","Low"
Jodhpur,"Bajra, Guar, Moth, Sesame","Kharif","Desert soil","Low"
Kota,"Soybean, Maize, Wheat, Gram","Kharif & Rabi","Black soil (trap) & Alluvial","High"
Nagaur,"Bajra, Guar, Moth, Sesame","Kharif","Desert soil","Low"
Pali,"Maize, Wheat, Gram, Mustard","Kharif & Rabi","Red loam & Hill soils","Medium"
Pratapgarh,"Maize, Bajra, Tur, Gram","Kharif & Rabi","Red loam","Medium"
Rajsamand,"Maize, Bajra, Gram, Mustard","Kharif & Rabi","Hill soils (Lithosols)","Medium"
Sawai Madhopur,"Soybean, Wheat, Maize, Gram","Kharif & Rabi","Brown soil","Medium"
Sikar,"Wheat, Barley, Gram, Mustard","Rabi & Kharif","Sierozems","Low"
Sirohi,"Maize, Bajra, Gram, Mustard","Kharif & Rabi","Red loam & Hill soils","Medium"
Tonk,"Wheat, Barley, Gram, Mustard","Rabi & Kharif","Old alluvial & Brown soil","High"
Udaipur,"Maize, Bajra, Gram, Groundnut","Kharif & Rabi","Red loam & Alluvial","Medium"
Ahmedabad,"Cotton, Groundnut, Wheat, Gram, Castor","Kharif & Rabi","Mixed red and black soils","High"
Amreli,"Groundnut, Cotton, Bajra, Wheat, Sesame","Kharif & Rabi","Mixed red and black soils","Medium"
Anand,"Paddy, Wheat, Maize, Sugarcane, Gram","Kharif & Rabi","Alluvial soils","High"
Aravalli,"Wheat, Gram, Mustard, Bajra, Maize","Kharif & Rabi","Laterite soils","Medium"
Banaskantha,"Bajra, Guar, Wheat, Gram, Mustard","Kharif & Rabi","Alluvial soils","Medium"
Bharuch,"Paddy, Sugarcane, Wheat, Gram, Groundnut","Kharif & Rabi","Alluvial soils","High"
Bhavnagar,"Groundnut, Cotton, Bajra, Sesame","Kharif & Rabi","Saline and alkaline soils","Medium"
Botad,"Groundnut, Cotton, Bajra, Sesame","Kharif & Rabi","Mixed red and black soils","Medium"
Chhota Udaipur,"Rice, Wheat, Maize, Gram","Kharif & Rabi","Laterite soils","Medium"
Dahod,"Groundnut, Cotton, Wheat, Gram, Castor","Kharif & Rabi","Mixed red and black soils","Medium"
Dang,"Paddy, Banana, Cashew, Sugarcane","Kharif & Rabi","Laterite soils","Low"
Devbhoomi Dwarka,"Cotton, Groundnut, Bajra","Kharif & Rabi","Saline and alkaline soils","Medium"
Gandhinagar,"Wheat, Groundnut, Gram, Cotton","Kharif & Rabi","Mixed red and black soils","High"
Gir Somnath,"Groundnut, Cotton, Bajra","Kharif & Rabi","Saline and alkaline soils","Medium"
Jamnagar,"Groundnut, Cotton, Sesame, Castor","Kharif & Rabi","Residual sandy soils","Medium"
Junagadh,"Groundnut, Cotton, Bajra, Jowar","Kharif & Rabi","Mixed red and black soils","Medium"
Kutch,"Bajra, Castor, Groundnut, Cotton","Kharif & Rabi","Desert soils","Low"
Kheda,"Cotton, Groundnut, Wheat, Gram","Kharif & Rabi","Alluvial soils","High"
Mahisagar,"Wheat, Gram, Maize, Groundnut","Kharif & Rabi","Alluvial soils","Medium"
Mehsana,"Wheat, Bajra, Guar, Gram","Kharif & Rabi","Alluvial soils","Medium"
Morbi,"Cotton, Groundnut, Bajra","Kharif & Rabi","Alluvial soils","Medium"
Narmada,"Paddy, Banana, Sugarcane, Wheat","Kharif & Rabi","Alluvial soils","High"
Navsari,"Rice, Cashew, Banana, Vegetables","Kharif & Rabi","Laterite soils","High"
Panchmahal,"Wheat, Maize, Gram, Groundnut","Kharif & Rabi","Mixed red and black soils","High"
Patan,"Bajra, Guar, Wheat, Gram","Kharif & Rabi","Alluvial soils","Medium"
Porbandar,"Groundnut, Cotton, Bajra","Kharif & Rabi","Saline and alkaline soils","Medium"
Rajkot,"Groundnut, Cotton, Bajra, Sesame","Kharif & Rabi","Residual sandy soils","Medium"
Sabarkantha,"Wheat, Gram, Mustard, Bajra","Kharif & Rabi","Mixed red and black soils","Medium"
Surat,"Paddy, Sugarcane, Banana, Vegetables","Kharif & Rabi","Alluvial soils","High"
Surendranagar,"Bajra, Groundnut, Sesame","Kharif & Rabi","Red soils","Medium"
Tapi,"Paddy, Banana, Sugarcane, Maize","Kharif & Rabi","Alluvial soils","High"
Vadodara,"Cotton, Groundnut, Wheat, Gram","Kharif & Rabi","Alluvial soils","High"
Valsad,"Paddy, Cashew, Banana, Vegetables","Kharif & Rabi","Laterite soils","High"
Vav‑Tharad,"Bajra, Guar, Wheat, Gram","Kharif & Rabi","Alluvial soils","Medium"
Agar Malwa,"Soybean, Wheat, Gram, Maize, Lentils","Kharif & Rabi","Black cotton soils","High"
Alirajpur,"Paddy, Maize, Pulses, Groundnut, Sesame","Kharif & Rabi","Laterite soils","Low"
Anuppur,"Paddy, Maize, Pulses, Groundnut, Wheat","Kharif & Rabi","Laterite & red soils","Low"
Ashoknagar,"Wheat, Gram, Mustard, Bajra, Lentils","Kharif & Rabi","Alluvial soils","Medium"
Balaghat,"Paddy, Wheat, Maize, Gram, Pulses","Kharif & Rabi","Red & laterite soils","Medium"
Barwani,"Bajra, Wheat, Pulses, Linseed, Jowar","Kharif & Rabi","Red soils","Low"
Betul,"Soybean, Wheat, Maize, Gram, Lentils","Kharif & Rabi","Alluvial & black soils","Medium"
Bhind,"Wheat, Mustard, Gram, Bajra, Lentils","Kharif & Rabi","Alluvial soils","Medium"
Bhopal,"Wheat, Gram, Lentils, Mustard, Maize","Kharif & Rabi","Black & alluvial soils","Medium"
Burhanpur,"Cotton, Soybean, Wheat, Gram, Lentils","Kharif & Rabi","Black soils","Medium"
Chhatarpur,"Wheat, Gram, Lentils, Mustard, Barley","Kharif & Rabi","Red & yellow soils","Low"
Chhindwara,"Soybean, Wheat, Gram, Maize, Pulses","Kharif & Rabi","Black soils","Medium"
Damoh,"Wheat, Gram, Lentils, Mustard, Barley","Kharif & Rabi","Red & yellow soils","Low"
Datia,"Wheat, Gram, Bajra, Lentils, Mustard","Kharif & Rabi","Alluvial soils","Medium"
Dewas,"Soybean, Wheat, Gram, Maize, Lentils","Kharif & Rabi","Black soils","High"
Dhar,"Soybean, Wheat, Maize, Gram, Pulses","Kharif & Rabi","Black & laterite soils","High"
Dindori,"Paddy, Maize, Pulses, Groundnut, Sesame","Kharif & Rabi","Laterite soils","Low"
Guna,"Wheat, Gram, Mustard, Bajra, Lentils","Kharif & Rabi","Alluvial soils","Medium"
Gwalior,"Wheat, Mustard, Gram, Bajra, Lentils","Kharif & Rabi","Alluvial soils","Medium"
Harda,"Paddy, Wheat, Gram, Sugarcane, Maize","Kharif & Rabi","Alluvial soils","Medium"
Hoshangabad,"Paddy, Wheat, Gram, Sugarcane, Maize","Kharif & Rabi","Alluvial soils","Medium"
Indore,"Soybean, Wheat, Gram, Maize, Lentils","Kharif & Rabi","Black soils","High"
Jabalpur,"Paddy, Wheat, Maize, Gram, Pulses","Kharif & Rabi","Red & yellow soils","Medium"
Jhabua,"Soybean, Wheat, Maize, Gram, Pulses","Kharif & Rabi","Black soils","High"
Katni,"Wheat, Paddy, Gram, Lentils, Mustard","Kharif & Rabi","Red soils","Medium"
Khandwa,"Soybean, Wheat, Gram, Maize, Lentils","Kharif & Rabi","Black soils","High"
Khargone,"Soybean, Wheat, Gram, Maize, Pulses","Kharif & Rabi","Black soils","High"
Mandla,"Paddy, Wheat, Maize, Gram, Pulses","Kharif & Rabi","Laterite soils","Medium"
Mandsaur,"Soybean, Wheat, Gram, Maize, Lentils","Kharif & Rabi","Black soils","High"
Morena,"Wheat, Mustard, Gram, Bajra, Lentils","Kharif & Rabi","Alluvial soils","Medium"
Narsinghpur,"Paddy, Wheat, Gram, Sugarcane, Maize","Kharif & Rabi","Alluvial soils","Medium"
Neemuch,"Wheat, Gram, Coriander, Mustard, Lentils","Kharif & Rabi","Alluvial soils","Medium"
Niwari,"Wheat, Gram, Mustard, Bajra, Lentils","Kharif & Rabi","Alluvial soils","Low"
Panna,"Wheat, Gram, Lentils, Mustard, Barley","Kharif & Rabi","Red & yellow soils","Low"
Raisen,"Paddy, Wheat, Gram, Maize, Lentils","Kharif & Rabi","Alluvial soils","Medium"
Rajgarh,"Wheat, Gram, Mustard, Bajra, Lentils","Kharif & Rabi","Alluvial soils","Medium"
Ratlam,"Soybean, Wheat, Gram, Maize, Lentils","Kharif & Rabi","Black soils","High"
Rewa,"Wheat, Gram, Lentils, Mustard, Barley","Kharif & Rabi","Red & yellow soils","Low"
Sagar,"Wheat, Gram, Mustard, Maize, Lentils","Kharif & Rabi","Red & yellow soils","Medium"
Satna,"Wheat, Gram, Lentils, Mustard, Barley","Kharif & Rabi","Red & yellow soils","Low"
Sehore,"Paddy, Wheat, Gram, Sugarcane, Maize","Kharif & Rabi","Alluvial soils","Medium"
Seoni,"Paddy, Wheat, Maize, Gram, Pulses","Kharif & Rabi","Red soils","Medium"
Shahdol,"Paddy, Maize, Pulses, Groundnut, Sesame","Kharif & Rabi","Red laterite soils","Low"
Shajapur,"Soybean, Wheat, Gram, Maize, Lentils","Kharif & Rabi","Black soils","High"
Sheopur,"Wheat, Gram, Pulses, Bajra, Mustard","Kharif & Rabi","Alluvial soils","Medium"
Shivpuri,"Wheat, Gram, Mustard, Bajra, Lentils","Kharif & Rabi","Alluvial soils","Medium"
Sidhi,"Paddy, Maize, Pulses, Groundnut, Sesame","Kharif & Rabi","Red laterite soils","Low"
Singrauli,"Paddy, Maize, Pulses, Groundnut, Sesame","Kharif & Rabi","Laterite soils","Low"
Tikamgarh,"Wheat, Gram, Lentils, Mustard, Barley","Kharif & Rabi","Red soils","Low"
Ujjain,"Soybean, Wheat, Gram, Maize, Lentils","Kharif & Rabi","Black soils","High"
Umaria,"Paddy, Maize, Pulses, Groundnut, Sesame","Kharif & Rabi","Red soils","Low"
Vidisha,"Wheat, Gram, Mustard, Bajra, Lentils","Kharif & Rabi","Alluvial soils","Medium"
Agra,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Aligarh,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Ayodhya,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Ambedkar Nagar,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Amethi,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Amroha,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Auraiya,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Azamgarh,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Baghpat,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Bahraich,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Ballia,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Balrampur,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Banda,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Barabanki,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Bareilly,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Basti,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Bhadohi,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Bijnor,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Budaun,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Bulandshahr,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Chandauli,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Chitrakoot,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Deoria,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Etah,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Etawah,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Farrukhabad,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Fatehpur,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Firozabad,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Gautam Buddha Nagar,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Ghaziabad,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Ghazipur,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Gonda,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Gorakhpur,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Hamirpur,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Hapur,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Hardoi,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Hathras,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Jalaun,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Jaunpur,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Jhansi,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Kannauj,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Kanpur Dehat,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Kanpur Nagar,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Kasganj,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Kaushambi,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Kushinagar,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Lakhimpur Kheri,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Lalitpur,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Lucknow,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Maharajganj,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Mahoba,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Mainpuri,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Mathura,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Mau,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Meerut,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Mirzapur,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Moradabad,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Muzaffarnagar,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Pilibhit,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Pratapgarh,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Prayagraj,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Raebareli,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Rampur,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Saharanpur,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Sambhal,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Sant Kabir Nagar,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Sant Ravidas Nagar,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Shahjahanpur,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Shamli,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Shravasti,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Siddharthnagar,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Sitapur,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Sonbhadra,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Sultanpur,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Unnao,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Varanasi,"Rice, Wheat, Maize, Sugarcane, Potato","Kharif & Rabi","Alluvial soils (sandy to clayey loam)","Medium"
Araria,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Arwal,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Aurangabad,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Banka,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Begusarai,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Bhagalpur,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Bhojpur,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Buxar,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
Darbhanga,"Rice, Wheat, Maize, Arhar (Tur), Gram, Potato, Sugarcane","Kharif & Rabi","Alluvial soils (Calcareous clays)","Medium"
